empresa;nome;endereco;bairro;cidade;estado;cep;latitude;longitude;data_extracao
petz;petz litoral plaza;av. ayrton senna da silva, 1511                                              - loja ext. v - litoral plaza;tude bastos;praia grande;SP;11726-000;;;08/10/2025
petz;petz londrina tiradentes;av. tiradentes, 1919;rodocentro;londrina;PR;86071-000;;;08/10/2025
petz;petz manuel gaya;rua manuel gaya, 2000;vila mazzei;sao paulo;SP;02313-000;;;08/10/2025
petz;petz maraponga;av. godofredo maciel, 2560;mondubim;fortaleza;CE;60710-684;;;08/10/2025
petz;petz marechal tito;avenida marechal tito,  5699                                              - junto ao mercadocar;itaim paulista;sao paulo;SP;08115-100;;;08/10/2025
petz;petz marginal tiete 24h;r. dr. miguel paulo capalbo, 166;pari;sao paulo;SP;03035-040;;;08/10/2025
petz;petz maringa;av. parana, 1250;zona 7;maringa;PR;87020-085;;;08/10/2025
petz;petz mateus leme;rua mateus leme, 1875;bom retiro;curitiba;PR;80520-174;;;08/10/2025
petz;petz mauro ramos;av. mauro ramos, 1586;centro;florianopolis;SC;88020-302;;;08/10/2025
petz;petz miguel sutil;av. miguel sutil , 10000;jardim mariana;cuiaba;MT;78040-790;;;08/10/2025
petz;petz mogi das cruzes;av. francisco rodrigues filho, 1550;botujuru;mogi das cruzes;SP;08840-000;;;08/10/2025
petz;petz mogi guacu;av. mogi mirim, 970;areiao;mogi guacu;SP;13844-110;;;08/10/2025
petz;petz moinhos de vento;rua quintino bocaiuva, 433;floresta;porto alegre;RS;90440-051;;;08/10/2025
petz;petz mooca;av. paes de barros, 1654;mooca;sao paulo;SP;03114-001;;;08/10/2025
petz;petz mooca plaza shopping;r. cap. pacheco e chaves, 313;vila prudente;sao paulo;SP;03126-000;;;08/10/2025
petz;petz morumbi;rua aureliano guimaraes, 201;morumbi;sao paulo;SP;05727-160;;;08/10/2025
petz;petz nacoes unidas;avenida das nacoes unidas, 20727;vila almeida;sao paulo;SP;04795-100;;;08/10/2025
petz;petz natal;av. sen. salgado filho, 2431;lagoa nova;natal;RN;59075-000;;;08/10/2025
petz;petz natal zona norte;av. dr. joao medeiros filho, 1420;potengi;natal;RN;59108-550;;;08/10/2025
