empresa;nome;logradouro;bairro;cidade;estado;regiao;cep;populacao;latitude;longitude;renda_domiciliar_per_capita;cod_cidade;data_extracao
petz;petz cristiano machado;Rua José Vieira Muniz;Floramar;Belo Horizonte;MG;Sudeste;31742-005;2.416.339;-19.8307058;-43.9388814;2001;6200;08/10/2025
petz;petz diadema;Avenida Fábio Eduardo Ramos Esquivel;Centro;Diadema;SP;Sudeste;09920-578;404.118;-23.6886100049;-46.6258500946;2662;13801;08/10/2025
petz;petz diario de noticias;Avenida Diário de Notícias;Cristal;Porto Alegre;RS;Sul;90810-080;1.389.322;-30.0504600069;-51.2098322109;2608;14902;08/10/2025
petz;petz divinopolis;Rua Minas Gerais;Centro;Divinópolis;MG;Sudeste;35500-007;242.328;-20.1451261;-44.8916447;2001;22306;08/10/2025
petz;petz djalma batista;Avenida Djalma Batista;Chapada;Manaus;AM;Norte;69050-010;2.279.686;-3.0967957;-60.0288373;1238;2603;08/10/2025
petz;petz dom pedro;Avenida Guilherme Campos 500;Jardim Santa Genebra;Campinas;SP;Sudeste;13087-901;1.185.977;-22.9099384;-47.0626332;2662;9502;08/10/2025
petz;petz dourados;Avenida Marcelino Pires;Jardim Caramuru;Dourados;MS;Centro-Oeste;79830-000;260.640;-22.223561;-54.8125486;2169;3702;08/10/2025
petz;petz edgar faco;Avenida General Edgar Facó;Vila Pereira Cerca;São Paulo;SP;Sudeste;02924-400;11.895.578;-23.548;-46.757050399;2662;50308;08/10/2025
petz;petz enseada;Avenida Santa Maria;Enseada;Guarujá;SP;Sudeste;11440-110;294.973;-23.9869736;-46.2463403;2662;18701;08/10/2025
petz;petz estacao goiania;Avenida Goiás;Setor Central;Goiânia;GO;Centro-Oeste;74010-010;1.494.599;-16.6716683;-49.2562665;2098;8707;08/10/2025
petz;petz fernando correa;Avenida Fernando Correa da Costa;Pico do Amor;Cuiabá;MT;Centro-Oeste;78065-000;682.932;-15.6014109;-56.0978917;2276;3403;08/10/2025
petz;petz ferraz de vasconcelos;Avenida Brasil;Vila Romanópolis;Ferraz de Vasconcelos;SP;Sudeste;08529-310;185.622;-23.536859992;-46.3644841588;2662;15707;08/10/2025
petz;petz florianopolis;Rodovia José Carlos Daux;Saco Grande;Florianópolis;SC;Sul;88032-005;576.361;-27.597;-48.5435160762;2601;5407;08/10/2025
petz;petz foz do iguacu;Rua Alfredo Nunes do Nascimento;Jardim Polo Centro;Foz do Iguaçu;PR;Sul;85863-754;295.500;-25.541339996;-54.5953817609;2482;8304;08/10/2025
petz;petz franca;Rua Professora Suzana Ribeiro Sandoval;Vila Champagnat;Franca;SP;Sudeste;14400-190;364.331;-20.5494525;-47.4037878;2662;16200;08/10/2025
petz;petz gama leste;Quadra Quadra 1;Setor Industrial (Gama);Brasília;DF;Centro-Oeste;72445-010;2.982.818;-16.0136169;-48.059985;3444;108;08/10/2025
petz;petz gastao vidigal;Avenida Doutor Gastão Vidigal;Vila Leopoldina;São Paulo;SP;Sudeste;05314-000;11.895.578;-23.939320047;-47.0628671078;2662;50308;08/10/2025
petz;petz gilberto salomao;SHIS QI 5 Bloco F;Setor de Habitações Individuais Sul;Brasília;DF;Centro-Oeste;71615-560;2.982.818;-15.7942287;-47.8821658;3444;108;08/10/2025
petz;petz giovanni gronchi;Avenida Giovanni Gronchi;Morumbi;São Paulo;SP;Sudeste;05651-002;11.895.578;-23.1205899546;-47.1022354799;2662;50308;08/10/2025
petz;petz giovanni pirelli;Rua Giovanni Battista Pirelli;Vila Homero Thon;Santo André;SP;Sudeste;09111-340;778.711;-23.6733600058;-46.5482192956;2662;47809;08/10/2025
petz;petz governador valadares;Avenida Brasil;Centro;Governador Valadares;MG;Sudeste;35010-070;266.649;-18.8695636;-41.9543122;2001;27701;08/10/2025
petz;petz gravatai;Avenida Dorival Cândido Luz de Oliveira;COHAB C;Gravataí;RS;Sul;94030-000;275.294;-29.9415699933;-50.9891956511;2608;9209;08/10/2025
petz;petz guaruja;Avenida Adhemar de Barros;Vila Santa Rosa;Guarujá;SP;Sudeste;11430-003;294.973;-23.9908312;-46.2809014;2662;18701;08/10/2025
petz;petz guarulhos;Rua Guarulhos;Gopoúva;Guarulhos;SP;Sudeste;07022-020;1.345.364;-23.463;-46.5312339725;2662;18800;08/10/2025
petz;petz guarulhos pimentas;Estrada Presidente Juscelino Kubitschek de Oliveira;Jardim Albertina;Guarulhos;SP;Sudeste;07252-000;1.345.364;-23.5301400125;-46.6061916931;2662;18800;08/10/2025
petz;petz hiper sales aracaju;Avenida Augusto Franco;Ponto Novo;Aracaju;SE;Nordeste;49097-670;628.849;-10.9349279;-37.075392;1473;308;08/10/2025
petz;petz hortolandia;Avenida Santana;Parque Ortolândia;Hortolândia;SP;Sudeste;13184-210;247.331;-22.8828875;-47.2308623;2662;19071;08/10/2025
petz;petz iguatemi esplanada;Avenida Gisele Constantino;Parque Bela Vista;Votorantim;SP;Sudeste;18110-650;132.849;-23.5458282;-47.4670805;2662;57006;08/10/2025
petz;petz ilha do governador;Estrada do Galeão;Jardim Carioca;Rio de Janeiro;RJ;Sudeste;21931-524;6.729.894;-22.8070469;-43.197542;2490;4557;08/10/2025
petz;petz indaiatuba;Alameda Filtros Mann;Jardim Tropical;Indaiatuba;SP;Sudeste;13344-580;267.796;-23.1153736;-47.2182994;2662;20509;08/10/2025
petz;petz independencia shopping;Avenida Presidente Itamar Franco;São Mateus;Juiz de Fora;MG;Sudeste;36025-290;565.764;-21.7722581;-43.353661;2001;36702;08/10/2025
petz;petz ipatinga;Rua Cláudio Moura;Novo Cruzeiro;Ipatinga;MG;Sudeste;35164-840;235.445;-19.4750305;-42.5374761;2001;31307;08/10/2025
petz;petz ipiranga;Avenida Presidente Tancredo Neves;Vila Nancy;São Paulo;SP;Sudeste;04287-010;11.895.578;-23.2887099681;-46.9188436387;2662;50308;08/10/2025
petz;petz itaim;Rua Bandeira Paulista;Itaim Bibi;São Paulo;SP;Sudeste;04532-003;11.895.578;-23.8387900308;-46.9532050611;2662;50308;08/10/2025
petz;petz itajai;Avenida Vereador Abrahão João Francisco;Ressacada;Itajaí;SC;Sul;88307-302;287.289;-26.9148400041;-48.6696704504;2601;8203;08/10/2025
petz;petz itanhaem;av. rui barbosa, 540;centro;Itanhaém;SP;Sudeste;11740-000;117.435;-24.1817994;-46.7850334;2662;22109;08/10/2025
petz;petz itapecerica;Estrada de Itapecerica;Vila das Belezas;São Paulo;SP;Sudeste;05835-003;11.895.578;-23.1005199541;-47.1241286159;2662;50308;08/10/2025
petz;petz itapetininga;Avenida Peixoto Gomide;Centro;Itapetininga;SP;Sudeste;18200-160;163.774;-23.5870635;-48.0480516;2662;22307;08/10/2025
petz;petz itatiba;Avenida Marechal Castelo Branco;Jardim da Luz;Itatiba;SP;Sudeste;13255-350;126.403;-23.0244035;-46.8402896;2662;23404;08/10/2025
petz;petz itu;Avenida Doutor Otaviano Pereira Mendes;Liberdade;Itu;SP;Sudeste;13301-000;174.561;-23.2588;-47.2989196;2662;23909;08/10/2025
petz;petz jaboatao dos guararapes;Avenida Ayrton Senna da Silva;Piedade;Jaboatão dos Guararapes;PE;Nordeste;54420-700;683.285;-8.1801557;-34.9203383;1453;7901;08/10/2025
petz;petz jacu pessego;Avenida Jacu-Pêssego;Itaquera;São Paulo;SP;Sudeste;08215-115;11.895.578;-23.5358836;-46.4523686;2662;50308;08/10/2025
petz;petz jaguare;Avenida Corifeu de Azevedo Marques;Vila Lageado;São Paulo;SP;Sudeste;05339-003;11.895.578;-23.9419300478;-46.2062858021;2662;50308;08/10/2025
petz;petz jardim botanico;Rua Jardim Botânico;Jardim Botânico;Rio de Janeiro;RJ;Sudeste;22470-051;6.729.894;-22.9068467;-43.1728965;2490;4557;08/10/2025
petz;petz jardim icarai;Rua Doutor Paulo César;Santa Rosa;Niterói;RJ;Sudeste;24240-000;516.720;-22.8987588;-43.0985184;2490;3302;08/10/2025
petz;petz jau;Avenida Doutor Quinzinho;Chácara Peccioli;Jaú;SP;Sudeste;17210-110;137.323;-22.2992648;-48.5446869;2662;25300;08/10/2025
petz;petz joao firmino;Avenida João Firmino;Assunção;São Bernardo do Campo;SP;Sudeste;09810-250;840.499;-23.7116400034;-46.5842638563;2662;48708;08/10/2025
petz;petz joao pessoa;Avenida Senador Ruy Carneiro;Manaíra;João Pessoa;PB;Nordeste;58039-180;888.679;-7.1121567;-34.828319;1401;7507;08/10/2025
petz;petz joinville;Alameda Rolf Colin;América;Joinville;SC;Sul;89204-070;654.888;-26.3011199952;-48.846;2601;9102;08/10/2025
petz;petz juiz de fora;Avenida Barão do Rio Branco;Alto dos Passos;Juiz de Fora;MG;Sudeste;36026-500;565.764;-21.776524;-43.3473578;2001;36702;08/10/2025
petz;petz jundiai;Avenida Antônio Frederico Ozanan;Vila de Vito;Jundiaí;SP;Sudeste;13215-010;460.313;-23.1719746;-46.8883514;2662;25904;08/10/2025
petz;petz jundiai anhanguera;Avenida Doutor Adilson Rodrigues;Jardim das Samambaias;Jundiaí;SP;Sudeste;13211-685;460.313;-23.1920386436;-46.9079545957;2662;25904;08/10/2025
petz;petz lauzane paulista;Avenida Direitos Humanos;Imirim;São Paulo;SP;Sudeste;02475-001;11.895.578;-23.6281900094;-46.7234743771;2662;50308;08/10/2025
petz;petz limao;Avenida Otaviano Alves de Lima;Casa Verde Baixa;São Paulo;SP;Sudeste;02501-000;11.895.578;-23.5145404;-46.6646472;2662;50308;08/10/2025
petz;petz linha verde;Avenida Caviúna;Bairro Alto;Curitiba;PR;Sul;82840-123;1.829.225;-25.4929800105;-49.3449501394;2482;6902;08/10/2025
petz;petz litoral plaza;Avenida Ayrton Senna da Silva;Sítio do Campo;Praia Grande;SP;Sudeste;11726-000;365.577;-23.99403;-46.4061432;2662;41000;08/10/2025
petz;petz londrina tiradentes;Avenida Tiradentes;Rodocentro;Londrina;PR;Sul;86071-000;577.318;-23.3385300098;-51.131934327;2482;13700;08/10/2025
petz;petz manuel gaya;Rua Manuel Gaya;Vila Nova Mazzei;São Paulo;SP;Sudeste;02313-000;11.895.578;-23.6060500137;-46.5726767902;2662;50308;08/10/2025
petz;petz maraponga;Avenida Godofredo Maciel;Maraponga;Fortaleza;CE;Nordeste;60710-684;2.574.412;-3.7930657;-38.5658738;1225;4400;08/10/2025
petz;petz marechal tito;Avenida Marechal Tito;Itaim Paulista;São Paulo;SP;Sudeste;08115-100;11.895.578;-23.0675799511;-46.636;2662;50308;08/10/2025
petz;petz marginal tiete 24h;Rua Doutor Miguel Paulo Capalbo;Pari;São Paulo;SP;Sudeste;03035-040;11.895.578;-23.6722900173;-46.7715803788;2662;50308;08/10/2025
