empresa;nome;logradouro;bairro;cidade;estado;regiao;cep;populacao;latitude;longitude;renda_domiciliar_per_capita;cidade_cod_ibge;data_extracao
petz;Petz Itu;Av. Dr. Otaviano Pereira Mendes, 1254;Liberdade;Itu;SP;Sudeste;13301-000;174561.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Jaboatão dos Guararapes;Av. Ayrton Senna da Silva, 1485;Piedade;Jaboatão dos Guararapes;PE;Nordeste;54420-700;683285.0;;;1453.0;2600054.0;08/10/2025
petz;Petz Jacu Pêssego;Av Jacu Pêssego , 4710;Itaquera;São Paulo;SP;Sudeste;08215-115;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Jaguaré;"Avenida Corifeu de Azevedo Marques, 4529
                                             - lado impar da Corifeu";Vila Lageado;São Paulo;SP;Sudeste;05339-003;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Jardim Botânico;R. Jardim Botânico, 733;Lagoa;Rio de Janeiro;RJ;Sudeste;22470-051;6729894.0;;;2490.0;3300100.0;08/10/2025
petz;Petz Jardim Icaraí;R. Dr. Paulo César, 249;Santa Rosa;Niterói;RJ;Sudeste;24240-000;516720.0;;;2490.0;3300100.0;08/10/2025
petz;Petz Jaú;Avenida Doutor Quinzinho , 51;Chácara Peccioli;Jaú;SP;Sudeste;17210-110;137323.0;;;2662.0;3500105.0;08/10/2025
petz;Petz João Firmino;Av. João Firmino, 342;Assunção;São Bernardo do Campo;SP;Sudeste;09810-250;840499.0;;;2662.0;3500105.0;08/10/2025
petz;Petz João Pessoa;Av. Senador Ruy Carneiro, 711;Tambau;João Pessoa;PB;Nordeste;58039-180;888679.0;;;1401.0;2500106.0;08/10/2025
petz;Petz Joinville;R. Dr. João Colin, 940;América;Joinville;SC;Sul;89204-070;654888.0;;;2601.0;4200051.0;08/10/2025
petz;Petz Juiz de Fora;Avenida Rio Branco, 3820;Alto dos Passos;Juiz de Fora;MG;Sudeste;36026-500;565764.0;;;2001.0;3100104.0;08/10/2025
